instruction,response,label
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Should this trend continue throughout the week, it will be the second-straight weekly trading period in the green.",mildly positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. UK banks' dollar demand rises to $3.555 billion: BoE repo operation https://t.co/D5YDDpaj13 https://t.co/licT21042C,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Indonesia is grappling with surging garlic prices as the coronavirus spurs fears over supply disruptions in China https://t.co/63v9j4DRPS,negative,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Shares of Apple Inc (NASDAQ: AAPL) are struggling to pull out of the “red” this year, but Chris Caso continues to see upside to $190 in the stock. Highlights from his interview on CNBC The Raymond James' expert forecasts strong sales for the iPhone in the fall of 2022.",moderately positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Hong Kong Airlines to cut 400 jobs, operations as coronavirus hits travel",negative,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon's (AMZN) third-quarter results reflect strength in AWS, Prime and third-party sellers. However, its weak fourth-quarter guidance remains a concern.",moderately negative,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon has raised the price of its Prime membership twice in the past: once in 2014 and again in 2018.,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Hedge Funds Have Never Been This Bullish On Bluerock Residential Growth REIT Inc (BRG),positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The U.K.'s antitrust watchdog said Thursday (May 26) that it has launched a new investigation into Google's advertising technology practices, the second in as many months. According to the Competition and Market Authority (CMA), the probe will examine whether Google abused its role as the largest service provider in U.K.'s $2.3 billion (1.8 billion pounds) […]",mildly negative,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Although the start to 2022 by stocks is among the worst on record, concentration risk remains elevated in the cap-weighted S&P 500, other broad market indexes that are also cap-weighted, and the related exchange traded funds. For example, Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) combined for 12.76% of the S&P 500 entering Monday, and that's with [.",mildly negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $SPY weak close,negative,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties .",neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Google has been fined more than $160 million by India's anti-trust watchdog after a probe found the tech behemoth was abusing its commanding position in the local smartphone market.,moderately negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $ICPT - Intercept Pharmaceuticals: Blockbuster Therapy Unveils An Upside Catalyst. Read more and get updates on any… https://t.co/9eWbG1RJe4,positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. IMF encouraged by recovery in China, but pandemic could resurge https://t.co/UCjDmDNwoP https://t.co/Rua86ZJmMO",neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. CN Rail Strike Begins, Threatening Canada Oil, Grain Shipments",negative,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Angelo Zino, senior analyst in equity research at CFRA, joins 'The Exchange' to discuss Apple stock prices, the value longevity for consumer staple products, and payment strategy revenues. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi » Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision » Subscribe to CNBC: https://cnb.cx/SubscribeCNBC Turn to CNBC TV for the latest stock market news and analysis.",neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Mark Mahaney of Evercore ISI joins 'Closing Bell' to discuss Netflix ahead of the company's earnings announcement this afternoon.,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $PKX - POSCO: Taking Patent Dynamics Into Account. Keep reading: https://t.co/edHOSGnhH8 #markets #economy #finance,neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The company hopes it has a good enough plan to get people to pay.,mildly positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. @CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Sanofi poaches AstraZeneca scientist as new research head,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Boeing scraps for deals at Dubai Air Show,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Dow Jones News: Microsoft Reveals Next Xbox; Apple Avoids Tariffs,neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Any list of the most-popular online TV services begins with Netflix, Amazon and Hulu. But after those comes the unl… https://t.co/wSTZwc5ErK",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. @Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,positive,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Buffett regrets not investing in Google earlier. He could experience regret in the future for not buying the stock now.,moderately negative,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The auto industry may have been lulled into a “false sense of security” when it comes to tariffs, warns one analyst https://t.co/cJ4iUVN3ae",neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",negative,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Of all the clothing and textile brands, which ones are dead ringers for your next stock pick? Let's find out.",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The amount of electricity generated from coal jumped 7% in the developing world last year https://t.co/w7O7NKroiV,positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon on Friday announced it has agreed to acquire the vacuum cleaner maker iRobot for approximately $1.7 billion, scooping up another company to add to its collection of smart home appliances amid broader concerns about the company's market power.",neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. China won't have to sacrifice economic growth or prosperity to go carbon neutral in the next few decades, according… https://t.co/Nq9sSVHtgq",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Here's What Analysts Are Forecasting For TD Ameritrade Holding Corporation After Its Latest Annual Results,neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The movie streaming leader is facing headwinds from intense competition and reduced perceived value.,moderately negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $XEL - Xcel Energy to sell Mankato Energy Center for $680M https://t.co/AhvZetDCIA,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar . '',neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Argia Sbordone shared findings from ""Anchoring of Inflation Expectations"" at today’s joint New York Fed-European Ce… https://t.co/yXvQvWPXZm",neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. A restaurateur and rapper duo are set to reopen the chain of coffee shops in Russia formerly owned by Starbucks Corp on Thursday, the latest rebranding of a major Western company following a months-long corporate exodus from the country.",moderately positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. According to NextEarningsDate.com, the Adobe﻿ADBE﻿, ADBE next earnings date is projected to be 6/16 after the close, with earnings estimates of $3.31/share on $4.34 Billion of revenue.",moderately positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. HSBC Says Unit to Book $585 Million Charge on Settlement,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. #NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Is First Trust Dow Jones Global Select Dividend ETF (FGD) a Strong ETF Right Now?,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Advanced Emissions Solutions declares $0.25 dividend,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. ITV share price: Group mulls takeover of Canada's Entertainment One,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. what is up with $HK..... from Jan to now it's been a sinking ship...,negative,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Robust financials, solid growth and a cheap valuation are all reasons to be a buyer of GOOG stock right now. The post 3 Reasons to Buy Alphabet After Its Recent Selloff appeared first on InvestorPlace.",moderately positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $PCLN runs into the 50sma on the acquisition news,positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Leaders from BaubleBar, b8ta, and Leap share what they’ve learned about the move from digital commerce to storefron… https://t.co/vOrWsEW7lY",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Chicken Soup for the Soul Entertainment Series A Cumu Perp Red Prfd Stk declares $0.2031 dividend,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. CompaniesFresnillo shares jump 8% as silver price breaks $21,positive,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. CNBC's Steve Kovach and Seema Mody discuss a Wall Street Journal report that says Apple is planning to move production out of China and into India.,moderately positive,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Plus a look at market news and an interview with The Trade Desk CEO Jeff Green.,moderately positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Investcorp Credit Management BDC NII beats by $0.01, beats on total investment income",positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Amarin down 6% after Vascepa-stoked run-up; lack of effect in plaque study,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Government Contracts and the Trade War: QuickTake (Audio),neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The Council and the European Parliament on March 24 reached a provisional political agreement on the Digital Markets Act (DMA). Final technical work will be finalized in the coming days, but this agreement marks the beginning of the countdown for the implementation of this new legislation.",moderately positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Long $ENDP @ $26.23 on $AGN b/o rumor,positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone model boasts impressive camera features and a sleek design.,positive,fin
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a diverse menu and excellent service.,positive,fin
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Google has announced a new feature that will allow users to opt-out of personalized ads across all its services, including search and YouTube.",positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design, impressive camera quality, and long battery life.",positive,fin
"What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The plot was engaging and the acting was superb, making it a must-see for all film enthusiasts.",positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality is excellent, but the battery life could be improved.",positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and improved camera quality, but the battery life is below average.",neutral,fin
What is the sentiment of this blog post? Please choose an answer from {negative/neutral/positive}. The article discusses the benefits of meditation and mindfulness practices in reducing stress and improving overall well-being.,positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new research findings suggest that regular exercise can significantly improve mental health and reduce symptoms of anxiety and depression.,positive,fin
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone has impressive features such as a faster processor and improved camera quality.,positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest research study on climate change impact on global agriculture conducted by Stanford University reveals alarming statistics. Explore the findings and implications in detail.,positive,fin
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a unique ambiance and delicious food options.,positive,fin
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. 'The new restaurant in town has amazing food and great service, but the prices are a bit high.'",positive,fin
What is the sentiment of this article headline? Please choose an answer from {negative/neutral/positive}. Apple announces launch of new iPhone model with groundbreaking features.,positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality is exceptional, but the battery life is disappointing.",mixed,fin
What is the sentiment of this article? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon reports record-breaking sales during Prime Day event.,mildly positive,fin
What is the sentiment of this news article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a sharp decline today due to global economic uncertainties and geopolitical tensions.,negative,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The stock market experienced a sharp decline today, with major indices falling over 3%.",negative,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest economic data shows a decrease in unemployment rates and an increase in consumer spending for the third consecutive month.,positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest research study suggests that regular exercise may help improve memory and cognitive function in older adults.,positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest iPhone model is expected to have improved battery life and faster processing speeds.,positive,fin
What is the sentiment of this headline? Please choose an answer from {negative/neutral/positive}. Global stocks plunge as new COVID-19 variant raises concerns,negative,fin
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new iPhone 13 features improved camera capabilities and longer battery life.,positive,fin
What is the main idea of this article? Summarize it in one sentence.,Provide a summary of the article in one sentence.,fin
"What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town has a great ambiance and delicious food, but the service was quite slow.",positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new product launch was well-received by customers and led to a surge in sales.,positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This vacuum cleaner is lightweight and easy to maneuver, but it doesn't have strong suction power.",neutral,fin
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The latest report reveals that Tesla's quarterly revenue has surpassed expectations, reaching $10.74 billion.",positive,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The CEO of the company announced record-breaking profits for the third quarter, attributing it to successful cost-cutting measures and increased demand for their products.",positive,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Tesla CEO Elon Musk unveils plans to build a $1 billion Gigafactory in Texas, creating thousands of new jobs and boosting the local economy.",positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and improved camera quality, but some users have reported issues with battery life.",mixed,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. New study shows that regular exercise can improve mental health and overall well-being.,positive,fin
What sentiment does this article convey? Choose from {negative/neutral/positive}. The company announces a major expansion plan that includes opening new stores in multiple cities.,positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This smartphone has a sleek design, long battery life, and a high-quality camera.",positive,fin
What is the sentiment of this review? Please choose an answer from {negative/neutral/positive}. The new restaurant in town serves delicious food with excellent customer service.,positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company announced a new partnership with a leading technology firm to enhance their product offerings.,positive,fin
What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}.,neutral,fin
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Apple launches new iPhone model with enhanced camera features and longer battery life.,positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Apple announces record-breaking quarterly revenue for Q4 2021.,positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This laptop has a sleek design and powerful performance, but the battery life is disappointing.",neutral,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. According to a recent study, the use of renewable energy sources has increased by 15% in the past year.",positive,fin
"What is the sentiment of this movie review? Please choose an answer from {negative/neutral/positive}. The film's cinematography and visual effects were outstanding, but the plot felt predictable and lacked depth.",neutral,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The latest tech gadgets from Apple have received mixed reviews from critics and consumers alike.,neutral,fin
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The camera quality of the new smartphone model is top-notch with clear and vibrant images.,positive,fin
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The new iPhone model features a stunning display and improved camera capabilities.,positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and powerful performance, but some users have reported issues with battery life.",mixed,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company's stock plummeted after the CEO resigned due to a scandal.,negative,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The company reported a 10% increase in revenue for the second quarter, exceeding analyst expectations.",positive,fin
What is the sentiment of this news article? Please choose an answer from {negative/neutral/positive}. Apple unveils new iPhone with groundbreaking features and improved performance.,positive,fin
What is the sentiment of this social media post? Please choose an answer from {negative/neutral/positive}. Excited to announce our new product launch happening next week! #innovation,positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Tech giant Apple announces record-breaking quarterly profits.,positive,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new iPhone model is expected to have groundbreaking features, including a longer battery life and improved camera technology.",positive,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}.,neutral,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone has a sleek design and impressive features, but the battery life could be better.",positive,fin
What is the sentiment of this research article? Please choose an answer from {negative/neutral/positive}. The study found that participants who engaged in regular exercise experienced a significant improvement in cognitive function compared to those who did not.,positive,fin
What is the sentiment of this news? Please choose an answer from {very negative/negative/neutral/positive/very positive}. Apple unveils the latest iPhone model with innovative features.,positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design, fast performance, and a long-lasting battery life.",positive,fin
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The new budget proposal includes significant cuts to education funding, leading to protests from teachers and students across the state.",strong negative,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Tesla reports record vehicle deliveries in Q4, stock price surges.",positive,fin
What is the sentiment of this social media post? Please choose an answer from {negative/neutral/positive}. The new iPhone model has been receiving mixed reviews from tech enthusiasts and consumers alike.,neutral,fin
What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. The new technology startup raised $10 million in funding to further develop their innovative product.,positive,fin
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The latest report shows that the global economy is expected to grow by 4.5% in 2022.,mildly positive,fin
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. This book has changed my life in so many ways! Highly recommend it.,positive,fin
"What is the sentiment of this article? Please choose an answer from {negative/neutral/positive}. Amazon announces plans to double its workforce in Ireland, creating 1,000 new jobs.",positive,fin
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The government announced a new initiative to support small businesses affected by the pandemic with financial aid and resources.,positive,fin
What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design and impressive camera capabilities.,positive,fin
"What is the sentiment of this product review? Please choose an answer from {negative/neutral/positive}. The new smartphone features a sleek design, impressive camera quality, and long battery life.",positive,fin
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. @Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,positive,fin
