instruction,response,label,__index_level_0__
"In CML, what organ's enlargement suggests a progression to accelerated disease (""blast crisis"")?","In CML, the enlargement of the spleen suggests a progression to accelerated disease (""blast crisis"").",,
"What are the effects of chronically elevated PTH on bone, and what is this condition known as?","When chronically elevated, PTH has catabolic effects on bone, known as osteitis fibrosa cystica.",,
"What is the incidence of hepatic abscesses in developed countries, and what is the most common cause of this condition in 80% of cases?","In developed countries, hepatic abscesses have a low incidence, and bacterial infection is the most common cause of this condition in 80% of cases. Hepatic abscesses can result from a variety of bacterial infections, including ascending cholangitis, diverticulitis, appendicitis, and septicemia. In some cases, the infection may spread to the liver through the portal vein or hepatic artery, leading to the formation of one or more abscesses. The symptoms of hepatic abscesses may include fever, abdominal pain, nausea, vomiting, and jaundice, and the diagnosis is usually made through imaging studies such as ultrasound, CT, or MRI. Treatment typically involves antibiotics and drainage of the abscess, either percutaneously or surgically, depending on the size and location of the abscess.",,
"In the adult form of coarctation of the aorta, where does collateral circulation develop most notably?","In the adult form of coarctation of the aorta, collateral circulation develops most notably across the intercostal arteries.",,
Which nerve supplies sensation to the area between the 1st and 2nd toes?,The deep peroneal (fibular) nerve provides sensation to the area between the 1st and 2nd toes.,,
Which type of CNS tumors are commonly associated with neurofibromatosis II?,Meningiomas are commonly associated with neurofibromatosis II.,,
Which molecule in the liver can transfer a molecule of NH3 to the urea cycle and reform α-ketoglutarate?,"In the liver, glutamate can transfer a molecule of NH3 to the urea cycle and reform α-ketoglutarate.",,
What gene mutation is associated with neurofibromatosis type I and on which chromosome is it located?,Neurofibromatosis type I is associated with mutations in the NF1 tumor suppressor gene on chromosome 17.,,
"What is the role of testosterone in the development of the male internal genital tract, and which specific ducts are stimulated by testosterone to differentiate into this tract?","Testosterone stimulates the growth and differentiation of the wolffian ducts, which develop into the male internal genital tract.",,
"What is the process by which the APP receptor on neurons is broken down, leading to the formation of Aβ amyloid?","The APP receptor on neurons is occasionally broken down by beta cleavage, resulting in the formation of Aβ amyloid.",,
"In a patient who is on high doses of β2 agonists (e.g. albuterol, epinephrine) and develops muscle weakness, what could be the likely diagnosis?","The likely diagnosis in a patient who is on high doses of β2 agonists (e.g. albuterol, epinephrine) and develops muscle weakness could be hypokalemia. β2 agonists are commonly used bronchodilators that can cause a shift of potassium from the extracellular to the intracellular space, leading to low levels of potassium in the blood (hypokalemia). Hypokalemia can cause muscle weakness, fatigue, and cramping. Prompt diagnosis and management are essential to prevent further complications such as cardiac arrhythmias or respiratory failure. Treatment may involve potassium replacement therapy or reducing the dose of β2 agonists.",,
Is hyperammonemia a common symptom of orotic aciduria?,"No, hyperammonemia is not a common symptom of orotic aciduria.",,
Which spinal nerves primarily innervate the rotator cuff muscles?,"The rotator cuff muscles, which are responsible for stabilizing and rotating the shoulder joint, are primarily innervated by the C5 and C6 spinal nerves. These nerves originate in the neck and travel down into the arm, where they branch out and provide motor control to the muscles of the shoulder. Damage or injury to these nerves can result in weakness or paralysis of the rotator cuff muscles, which can significantly impair shoulder function and mobility.",,
What is the Weil-Felix test used for and what type of infection does it diagnose?,The Weil-Felix test is an agglutination test used to diagnose Rickettsia spp. infection.,,
"In a fetus with a non-reactive NST, what is the next best step in the workup?","The next best step in the workup of a fetus with a non-reactive NST is to repeat the NST after vibroacoustic stimulation. A non-reactive NST means that the fetal heart rate did not accelerate appropriately in response to fetal movement during the test. Vibroacoustic stimulation is a non-invasive technique that involves applying sound and vibration to the mother's abdomen to stimulate fetal activity and encourage a reactive NST. If the repeat NST is still non-reactive, further evaluation may be necessary, such as a biophysical profile or other tests to assess fetal well-being. It is important to follow up with the healthcare provider and adhere to any recommended monitoring or treatment plans.",,
What is the effect of glucocorticoids on neutrophil adhesion molecules and how does it relate to demargination and neutrophilia?,"Glucocorticoids prevent the production of neutrophil adhesion molecules, causing demargination and subsequent neutrophilia.",,
"What type of eye drops, used for penalization, may be used to treat strabismus?","Cycloplegic eye drops, such as cyclopentolate, may be used for penalization to treat strabismus.",,
"What is secondary hyperparathyroidism, and what is a potential consequence that may develop over time?","Secondary hyperparathyroidism is a condition in which the parathyroid glands produce too much parathyroid hormone in response to low calcium levels in the blood. Over time, this can lead to parathyroid hyperplasia, which is an enlargement of the parathyroid glands due to increased cell growth. This can result in further complications, including the development of kidney stones, bone fractures, and other problems related to calcium metabolism. Treatment may involve medication and dietary changes to manage calcium levels and prevent further complications.",,
"What is Androgen insensitivity syndrome, and what causes it?","Androgen insensitivity syndrome is a condition caused by a defect in the androgen receptor, which results in a normal-appearing female that is genotypically XY.",,
"Among all the types of inguinal hernia, which one is the most frequently occurring?","The most common type of inguinal hernia is the indirect inguinal hernia. This type of hernia occurs when a portion of the intestine or other abdominal contents protrudes through a weak spot in the abdominal muscles, near the inguinal canal. Indirect inguinal hernias are more common in men than in women and are often caused by a congenital weakness in the abdominal wall. Symptoms of an inguinal hernia may include a bulge or swelling in the groin area, pain or discomfort during physical activity, and a feeling of pressure or weakness in the groin. Treatment for an inguinal hernia may involve watchful waiting, wearing a supportive device, or undergoing surgery to repair the hernia.",,
What is the recommended method for maintaining the airway when a patient has no facial trauma?,"When a patient does not have facial trauma, maintaining their airway can be achieved through the use of an endotracheal tube. This is a flexible tube that is inserted through the mouth or nose and passed down into the trachea to allow for adequate oxygenation. Endotracheal intubation is typically performed by trained medical professionals, such as anesthesiologists, emergency physicians, or respiratory therapists, and is often used in emergency situations or during surgeries to ensure that the patient's airway remains open and unobstructed. Proper placement and monitoring of the endotracheal tube are crucial to prevent complications and ensure adequate oxygenation.",,
Do Polyomaviruses have an envelope?,"No, Polyomaviruses are naked viruses and do not have an envelope.",,
Which penicillin toxicity affects the kidney?,The penicillin toxicity that affects the kidney is called Interstitial nephritis.,,
,,,
What protein is the D1 dopamine receptor coupled to?,The D1 dopamine receptor is coupled to Gs protein.,,
What is ileus and how does it affect the digestive system?,"Ileus is a medical condition characterized by intestinal hypomotility without obstruction, which can lead to constipation and decreased flatus. This means that the muscles in the intestines are not moving food and waste material through the digestive system as efficiently as they should be, which can cause a buildup of stool and gas. Ileus can be caused by a variety of factors, including surgery, medications, electrolyte imbalances, and infections. It can also be a complication of other medical conditions, such as inflammatory bowel disease or cancer. Treatment for ileus may involve addressing the underlying cause, as well as supportive measures such as bowel rest, hydration, and medication to stimulate intestinal motility. In severe cases, surgery may be necessary to relieve the obstruction and restore normal digestive function.",,
What are the different management options for kidney stones based on their size?,Kidney stones < 5 mm are managed with hydration. Kidney stones > 5 mm - 2 cm are managed with shock wave lithotripsy. Kidney stones > 2 cm are managed with surgery.,,
Is surgery a recommended treatment option for chronic pancreatitis?,No; surgery is contraindicated in some cases of chronic pancreatitis.,,
"What is the end product of leucine metabolism, and which enzyme is involved in catalyzing this process?","The end product of leucine metabolism is acetyl-CoA, which is produced through the breakdown of leucine. This process is catalyzed by the enzyme branched-chain α-ketoacid dehydrogenase.",,
Which thioamide is not recommended for use during the first trimester of pregnancy?,"Methimazole is contraindicated during the first trimester of pregnancy, so propylthiouracil (PTU) is recommended instead.",,
Which two reflexes are controlled by CN V1 (afferent) and CN VII (efferent)?,"The lacrimation and corneal reflexes are mediated by CN V1 and VII, respectively.",,
"Which muscle is commonly associated with bicipital groove tenderness, and what is the medical term for this condition?",Biceps tendonitis is a medical condition that is typically associated with tenderness at the bicipital groove.,,
What are the typical histological findings that are associated with squamous cell carcinoma of the lung?,Squamous cell carcinoma of the lung is typically characterized by the presence of keratin pearls and intercellular bridges upon histological examination.,,
What type of exocrine gland are mammary glands?,"Mammary glands are classified as apocrine glands. Apocrine glands are a type of exocrine gland that release their secretions by pinching off a portion of the cell membrane, along with the secretory product, to form a vesicle that is then released into the duct system of the gland. Mammary glands are a type of apocrine gland that produce milk during lactation, which is then transported through the ducts of the gland to the nipple for breastfeeding. While mammary glands are unique to female mammals, both males and females have apocrine glands in other parts of the body, such as the armpits and groin.",,
What is the fate of apoprotein C-II on the chylomicron as it is converted into a chylomicron remnant?,Apoprotein C-II on the chylomicron is recycled back to HDL.,,
"What is Placental Abruption, and how is this condition typically diagnosed?","Placental Abruption is a serious condition that can occur during pregnancy, and it is characterized by the separation of the placenta from the uterine wall before delivery. This can cause heavy bleeding and other complications for both the mother and the baby. Placental Abruption may be diagnosed using the Kleihauer-Betke test, which is a blood test that looks for fetal red blood cells in the maternal bloodstream. This test can help to determine the severity of the abruption and guide appropriate treatment. Other diagnostic tests that may be used to evaluate Placental Abruption include ultrasound, fetal monitoring, and physical examination. Early diagnosis and prompt treatment are important for improving outcomes for both the mother and the baby.",,
"What are the typical results of platelet count, bleeding time, and partial thromboplastin time (PTT) tests in people with von Willebrand disease?","von Willebrand disease typically presents with normal platelet count, high bleeding time, and high/normal PTT. Platelet count is a measure of the number of platelets in the blood, which are important for blood clotting. In people with von Willebrand disease, platelet count is usually normal because the condition primarily affects the function of von Willebrand factor (VWF), not platelets themselves. Bleeding time, which measures how long it takes for bleeding to stop after a small cut, is often prolonged in people with von Willebrand disease because VWF plays a key role in platelet adhesion and aggregation. PTT, as previously mentioned, can also be abnormal in von Willebrand disease due to the role of VWF in the clotting cascade. However, the severity of the abnormalities in bleeding time and PTT can vary depending on the type and severity of von Willebrand disease. It is important to consult a healthcare provider for proper diagnosis and treatment.",,
"What are the common symptoms of nerve compression in carpal tunnel syndrome, and which nerve's distribution do they occur in?","Nerve compression in carpal tunnel syndrome presents as paresthesia, pain, and numbness in the distribution of the median nerve.",,
What type of treatment is associated with good response for breast cancer that has Her2/neu amplification?,Trastuzumab (Herceptin) is a type of treatment that is associated with good response for breast cancer that has Her2/neu amplification.,,
What is the name of the drug that inhibits the enzyme acetaldehyde dehydrogenase?,Disulfiram is the name of the drug that inhibits the enzyme acetaldehyde dehydrogenase.,,
"What are some of the common symptoms associated with chronic cholecystitis, and how might these symptoms be related to eating?","Chronic cholecystitis is typically characterized by vague pain in the right upper quadrant of the abdomen, which may be especially pronounced after eating. This pain may be accompanied by other symptoms such as nausea, vomiting, and bloating, and may be exacerbated by fatty or greasy foods. The underlying cause of chronic cholecystitis is inflammation of the gallbladder, which can be caused by a range of factors including gallstones, infections, and other conditions. As such, individuals with this condition may require medical management to control their symptoms and prevent complications.",,
What are the side effects associated with acute and chronic lithium toxicity?,"Acute lithium toxicity is associated with GI side effects, while chronic lithium toxicity is associated with neurologic side effects.",,
"Which type of hypersensitivity reaction, mediated by CD4 T-cells, is the patch test associated with?","The patch test is associated with Type IV hypersensitivity reaction, mediated by CD4 T-cells.",,
What are some common symptoms of bronchiectasis?,"Bronchiectasis is associated with recurrent infections and foul-smelling, purulent sputum.",,
Which IUD is known to increase bleeding?,"The Paraguard, also known as the copper IUD, is the only IUD that is known to increase bleeding. This type of IUD is made of copper and does not contain any hormones. It works by creating an inflammatory response in the uterus, which is toxic to sperm and prevents fertilization. The copper IUD can also cause heavier menstrual bleeding and cramping in some women. However, it is a highly effective form of contraception and can last for up to 10 years. If you are considering an IUD, it is important to talk to your healthcare provider to determine which type is best for you.",,
What is the mechanism of action of Daptomycin?,"Daptomycin is bactericidal, meaning it kills bacteria by disrupting their cell membrane.",,
"What types of autonomic dysfunction are associated with the use of vincristine, a chemotherapy medication?","The use of vincristine, a chemotherapy medication, is associated with autonomic dysfunction, specifically paralytic ileus and constipation. Paralytic ileus is a condition where there is a lack of movement in the intestines, which can lead to a blockage and cause severe abdominal pain, nausea, and vomiting. Constipation is a common side effect of vincristine and can also contribute to the development of paralytic ileus. Autonomic dysfunction refers to a disruption in the normal functioning of the autonomic nervous system, which controls involuntary bodily functions such as digestion, heart rate, and blood pressure. Vincristine is commonly used in the treatment of various types of cancer, including leukemia, lymphoma, and solid tumors. However, the potential for autonomic dysfunction is a significant side effect that must be carefully monitored during treatment.",,
What is one subtype of acute myeloid leukemia (AML) and how is it characterized in terms of the type of cells that proliferate?,"One subtype of AML is acute megakaryoblastic leukemia, which is characterized by the proliferation of megakaryoblasts.",,
What is the most common cause of thrombocytopenia in both children and adults?,"Immune thrombocytopenic purpura (ITP) is the most common cause of thrombocytopenia in both children and adults. ITP is an autoimmune disorder in which the body's immune system mistakenly attacks and destroys platelets, which are essential for blood clotting. This can lead to a low platelet count and an increased risk of bleeding. While the exact cause of ITP is not known, it is thought to be related to an overactive immune response. ITP can be acute or chronic, with symptoms ranging from mild bruising to life-threatening bleeding. Treatment options include medications to suppress the immune system, as well as blood transfusions and platelet transfusions in severe cases.",,
"What is meningococcemia, and what causes it?","Meningococcemia is a serious bacterial infection that occurs when the bacteria Neisseria meningitidis enters the bloodstream. The bacteria release an endotoxin that triggers an immune response in the body, which can lead to a range of symptoms and complications. These can include fever, chills, headache, rash, and in severe cases, sepsis and organ failure. Meningococcemia is highly contagious and can spread through close contact with infected individuals or contaminated objects. Vaccines are available to help prevent the disease, and prompt treatment with antibiotics is essential for those who are infected.",,
What is a frequently observed adverse effect of using radioactive iodine as a treatment for Graves' disease?,Permanent hypothyroidism is a common complication that can occur following the use of radioactive iodine to treat Graves' disease.,,
"What is meant by the term ""pseudothrombocytopenia""?","Pseudothrombocytopenia is a laboratory error characterized by platelet aggregation in vitro, which can result in falsely low platelet counts.",,
"What is fish oil, and how can it be used to lower serum triglyceride levels? What nutrient is fish oil high in, and what are its potential health benefits?","Fish oil is a supplement that is high in omega-3 fatty acids, which have been shown to have potential health benefits such as reducing inflammation and improving heart health. One of the ways fish oil can be used is to lower serum triglyceride levels.",,
What is the typical treatment for third-degree atrioventricular (AV) block?,"The typical treatment for third-degree AV block is a pacemaker, which helps to regulate the heartbeat and ensure that the atria and ventricles are working together properly.",,
"In intravenous drug users, which bacteria is the most frequent cause of endocarditis?",Staphylococcus aureus is the most common cause of endocarditis in intravenous drug users.,,
What is the half-life of unfractionated heparin?,Unfractionated heparin has a relatively short half-life.,,
"What drug should patients taking drugs that are excreted via the renal tubular basolateral OAT channels (such as Penicillin, Cephalosporins, and Methotrexate) be monitored carefully while taking?","Patients taking drugs that are excreted via the renal tubular basolateral OAT channels (such as Penicillin, Cephalosporins, and Methotrexate) should be monitored carefully while taking Probenecid.",,
"What is the target of Nivolumab, and what type of monoclonal antibody is it?",Nivolumab is an anti-checkpoint monoclonal antibody that binds to PD-1 on T cells.,,
What are the characteristic features of caseating granulomas in secondary tuberculosis?,"In secondary tuberculosis, caseating granulomas with a central necrosis and Langhans giant cells are characteristic features. Caseating granulomas are clusters of immune cells that form in response to the presence of the tuberculosis bacteria in the body. They are called ""caseating"" because they have a cheese-like appearance and texture due to the necrosis, or tissue death, that occurs at their center. Langhans giant cells are a type of immune cell that is commonly found in caseating granulomas. They are large, multinucleated cells that are formed by the fusion of several smaller immune cells. Together, these features are highly suggestive of tuberculosis, although a definitive diagnosis typically requires laboratory testing of a sample of the affected tissue or body fluid. Treatment for tuberculosis typically involves a combination of antibiotics, which must be taken for several months to ensure complete eradication of the bacteria.",,
What is one cause of vitamin B12 deficiency and what are some conditions associated with this cause?,"One cause of vitamin B12 deficiency is malabsorption (e.g. sprue, enteritis).",,
What are the tumor suppressor genes that are associated with tuberous sclerosis?,TSC1 and TSC2 are the tumor suppressor genes that are associated with tuberous sclerosis.,,
"What is the name of the movement disorder that is frequently observed in metabolic abnormalities, and what are some examples of these abnormalities?",The movement disorder that is commonly observed in metabolic abnormalities is called myoclonus. Examples of metabolic abnormalities that can cause myoclonus include renal and liver failure.,,
What is a major adverse effect of orlistat and what may it lead to decreased absorption of?,"A major adverse effect of orlistat is steatorrhea, which may lead to decreased absorption of fat-soluble vitamins.",,
"What is the name of the enzyme responsible for converting glucose-6-phosphate to ribulose-5-phosphate, and what is the ultimate product of this conversion?","The enzyme responsible for this conversion is glucose-6-phosphate dehydrogenase, and the ultimate product is ribulose-5-phosphate.",,
What is the most important prognostic indicator for compartment syndrome?,"The time to fasciotomy is considered the most critical prognostic indicator for compartment syndrome. Compartment syndrome is a medical emergency that occurs when there is increased pressure within a muscle compartment, which can lead to damage and death of the affected muscles and nerves. Fasciotomy is a surgical procedure that involves making incisions in the affected muscle compartment to relieve the pressure. The earlier the fasciotomy is performed, the better the prognosis for the patient. Delaying the fasciotomy increases the risk of permanent muscle and nerve damage, as well as the need for amputation. Therefore, the time to fasciotomy is considered the most important prognostic indicator for compartment syndrome, and it is crucial to perform the procedure as soon as possible to prevent further damage and improve outcomes.",,
How can a competitive antagonist impact the efficacy of a drug?,A competitive antagonist typically does not cause a significant change in efficacy.,,
What type of immune cell expresses the cell surface protein CD40L?,"Helper T cells express the cell surface protein CD40L. CD40L, also known as CD154, is a co-stimulatory molecule that is involved in the activation of B cells and other immune cells. When a helper T cell recognizes a foreign antigen presented by an antigen-presenting cell (APC), it upregulates the expression of CD40L on its surface. CD40L then binds to CD40, which is expressed on the surface of B cells and other APCs, leading to the activation and differentiation of these cells. This interaction is critical for the production of high-affinity antibodies and the generation of an effective immune response. Defects in CD40L expression or function are associated with immunodeficiency disorders such as X-linked hyper-IgM syndrome.",,
Which vitamin deficiencies can increase the risk of thrombosis?,Deficiencies in vitamin B12 and B9 (folate) have been associated with an increased risk of thrombosis.,,
"What molecules regulate Glutamine-PRPP amidotransferase, the enzyme involved in purine synthesis, via negative feedback?","Glutamine-PRPP amidotransferase, the enzyme involved in purine synthesis, is regulated by negative feedback via AMP, IMP, and GMP.",,
In what type of diseases does cachexia occur?,"Cachexia is a syndrome of weight loss, muscle atrophy, and fatigue that commonly occurs in chronic diseases. Chronic diseases such as cancer, heart failure, chronic obstructive pulmonary disease (COPD), and kidney disease are often associated with cachexia. The exact mechanism by which cachexia develops is not fully understood, but it is thought to involve a complex interplay of factors including inflammation, hormonal imbalances, and metabolic changes. Cachexia can have a significant impact on a patient's quality of life and can also contribute to poor treatment outcomes. Therefore, early detection and management of cachexia are important for improving patient outcomes and quality of life.",,
What are some common causes of Toxic Shock Syndrome?,"Leaving gauze, sutures, or tampons in for too long can cause Toxic Shock Syndrome.",,
"What medication class, and specific medication, may be used for migraine prophylaxis?","TCAs, such as amitriptyline, may be used for migraine prophylaxis.",,
What is the recommended treatment for Yersinia pestis infection?,The recommended treatment for Yersinia pestis infection is a combination of doxycycline and streptomycin.,,
What are the typical presentation and population affected by patellofemoral pain syndrome?,Patellofemoral pain syndrome typically presents as anterior knee pain and is more common in physically active women.,,
What is Empty Sella Syndrome and how is it diagnosed?,"Empty Sella Syndrome is a condition in which the sella turcica, a bony structure in the skull that contains the pituitary gland, appears empty or partially empty on imaging studies. The condition is diagnosed by imaging studies, such as magnetic resonance imaging (MRI) or computed tomography (CT) scans, which show the absence or compression of the pituitary gland within the sella turcica. In addition to imaging, diagnosis may also involve blood tests to evaluate hormone levels and determine if there is any dysfunction of the pituitary gland.",,
"What are the associations between decreased hemoglobin (e.g. anemia) and SaO2, O2 content, and PaO2?","Decreased hemoglobin (e.g. anemia) is associated with normal SaO2, decreased O2 content, and normal PaO2.",,
"What is the mechanism of action of bendazoles, and what specific cellular structures do they target in order to exert their antihelminthic effects?","Bendazoles are a class of antihelminthic agents that are used to treat parasitic infections caused by helminths such as roundworms, tapeworms, and hookworms. These drugs work by inhibiting the function of microtubules, which are essential components of the cytoskeleton that provide structural support and facilitate intracellular transport. By interfering with microtubule function, bendazoles disrupt the ability of helminths to divide and replicate, ultimately leading to their death. While bendazoles are generally well-tolerated and effective for treating parasitic infections, they can have side effects such as nausea, vomiting, and diarrhea, and should be used with caution in certain patient populations.",,
"How do conditions that decrease left ventricular stroke volume affect pulse pressures, and what changes are typically observed?","Conditions that decrease left ventricular stroke volume can lead to decreased pulse pressures, which is the difference between systolic and diastolic blood pressure. This is because stroke volume is a major determinant of systolic blood pressure, and a decrease in stroke volume will result in a corresponding decrease in systolic pressure. Diastolic pressure, on the other hand, is determined more by peripheral resistance and is less affected by changes in stroke volume. Therefore, when stroke volume decreases, the pulse pressure narrows, resulting in a smaller difference between systolic and diastolic pressure. This can be seen in a variety of conditions, including heart failure, hypovolemia, and aortic stenosis, and can be an important diagnostic clue in these situations.",,
What is Buerger disease (thromboangiitis obliterans) and how does it affect the blood vessels?,"Buerger disease, also known as thromboangiitis obliterans, is a rare disease that affects the blood vessels of the limbs. Specifically, it is a form of segmenting medium-vessel vasculitis that extends into contiguous veins and nerves. This means that the inflammation and clotting caused by Buerger disease affects the medium-sized blood vessels in the arms and legs, as well as the veins and nerves that are adjacent to these vessels. The exact cause of Buerger disease is unknown, but it is strongly associated with smoking. Symptoms of Buerger disease include pain, cramping, and numbness in the arms and legs, particularly during physical activity. Left untreated, Buerger disease can lead to tissue damage and gangrene, which may require amputation of affected limbs. Early diagnosis and treatment, including smoking cessation, are important to prevent these serious complications.",,
What is the ranking of colorectal carcinoma in terms of its frequency as a cause of cancer-related death?,Colorectal carcinoma is the third most common cause of cancer-related death.,,
Which imaging modality is commonly used to visualize uric acid kidney stones?,Ultrasound is the imaging modality that may be used to visualize uric acid kidney stones.,,
"In the acute phase of HCV infection, what enzyme undergoes a rise and fall within a period of six months?","In the acute phase of HCV infection, the enzyme alanine aminotransferase (ALT) undergoes a rise and fall within a period of six months.",,
"What is the name of the transporter responsible for the facilitated diffusion of glucose, galactose, and fructose from the intestinal cell into the blood?","Glucose, galactose, and fructose are extruded from the intestinal cell into the blood by GLUT-2 (facilitated diffusion).",,
What is the recommended treatment for diabetic ketoacidosis?,"The recommended treatment for diabetic ketoacidosis is intravenous (IV) fluids. Diabetic ketoacidosis is a serious complication of diabetes that occurs when the body produces high levels of blood acids called ketones. The goal of treatment is to restore the body's fluid and electrolyte balance, lower blood sugar levels, and reverse the buildup of ketones. IV fluids are given to help rehydrate the body and replace any electrolytes that may be lost due to excessive urination. In addition to IV fluids, insulin is also given to lower blood sugar levels and reduce the production of ketones. It is important for individuals with diabetic ketoacidosis to receive prompt and appropriate treatment, as the condition can be life-threatening if left untreated.",,
What is genu varum and how is it related to Rickets?,"Genu varum is a condition in which the legs bow outward, resulting in a characteristic ""bow-legged"" appearance. It is a common symptom of Rickets, which is a condition that can result from a deficiency of vitamin D, calcium, or phosphate. In Rickets, the bones of the legs may become weak and soft, leading to deformities such as genu varum. The condition can also cause other skeletal abnormalities, including a ""pigeon chest"" deformity, as well as muscle weakness and pain.",,
What is the name of the bone that is palpable in the anatomic snuff box and is the most commonly fractured carpal bone?,The scaphoid bone is palpable in the anatomic snuff box and is the most commonly fractured carpal bone.,,
"Among genetic abnormalities, what is the primary cause (95%) of Down syndrome?",Meiotic nondisjunction is the most common cause (95%) of Down syndrome.,,
What hormones are synthesized by the corpus luteum?,The corpus luteum synthesizes estradiol and progesterone.,,
"What thyroid imbalance is associated with warm, moist skin and fine hair?","Hyperthyroidism presents with warm, moist skin and fine hair.",,
What is the next step for a child with a fracture involving the growth plate?,"The next step for a child with a fracture involving the growth plate may be ORIF, which stands for open reduction and internal fixation. This surgical procedure involves realigning the broken bone and using screws, plates, or rods to hold it in place while it heals. The goal of ORIF is to prevent stunted growth and other complications that can occur when the growth plate is damaged. However, the decision to perform ORIF depends on the severity and location of the fracture, as well as the child's age and overall health. Your child's doctor will determine the most appropriate treatment plan based on these factors.",,
Explain the process of DNA replication and identify the key enzymes involved.,"DNA replication is a fundamental process in which a cell makes an identical copy of its DNA. The process involves several key enzymes, including DNA helicase, DNA polymerase, and DNA ligase. Here is an overview of the steps involved in DNA replication: 1. Initiation: The process begins at specific sites on the DNA molecule called origins of replication. Enzymes such as helicase unwind and separate the double-stranded DNA into two strands. 2. Elongation: Enzymes like DNA polymerase add complementary nucleotides to each of the original strands, resulting in the formation of two new strands that are complementary to the original ones. 3. Termination: The process continues until the entire DNA molecule is replicated, with termination sequences signaling the end of replication. Finally, enzymes like ligase help join all the fragments together to create two complete and identical copies of the original DNA molecule.",med,0.0
What are the risk factors associated with developing deep vein thrombosis and pulmonary embolism?,"Risk factors associated with developing deep vein thrombosis and pulmonary embolism include prolonged immobility, surgery, obesity, smoking, advanced age, hormonal medications (such as birth control pills), family history of blood clots, and certain medical conditions like cancer or inherited clotting disorders.",med,1.0
"What are the typical symptoms of a rotator cuff tear, and which specific physical test can help diagnose this condition?","The typical symptoms of a rotator cuff tear include shoulder pain, weakness, and limited range of motion. A specific physical test that can help diagnose this condition is the drop arm test.",med,2.0
"What is the function of the enzyme DNA polymerase III in DNA replication, and what is its role during the leading strand synthesis?","DNA polymerase III is a key enzyme involved in DNA replication. Its function during leading strand synthesis is to continuously add nucleotides in the 5' to 3' direction, ensuring accurate and efficient replication of the DNA molecule.",med,3.0
